video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=VS8s_J8Ngrc&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbtIHCQmHCgGHKiGM7w%3D%3D,/@NBA,NBA,"THUNDER at HEAT | FULL GAME HIGHLIGHTS | January 17, 2026",381K,3 days,"The Heat defeated the Thunder, 122-120 tonight in Miami. Bam Adebayo contributed a team-high 30 points to go with 12 ...",2026-01-21 10:02:04.585573
/watch?v=5jibHJCLQ74&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"HORNETS at WARRIORS | FULL GAME HIGHLIGHTS | January 17, 2026",969K,3 days,"The Warriors defeated the Hornets, 136-116 tonight in Golden State. De'Anthony Melton contributed a team-high 24 points to go ...",2026-01-21 10:02:04.587164
/watch?v=o2lXXjrUjos&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"MAVERICKS at KNICKS | FULL GAME HIGHLIGHTS | January 19, 2026",328K,1 day,"The Mavericks defeated the Knicks, 114-97 tonight in New York. Max Christie contributed a team-high 26 points to go with 8 three ...",2026-01-21 10:02:04.588836
/watch?v=6L2segjJHIE&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"RAPTORS at LAKERS | FULL GAME HIGHLIGHTS | January 18, 2026",1.1M,2 days,"Never miss a moment with the latest news, trending stories and highlights to bring you closer to your favorite players and teams.",2026-01-21 10:02:04.590265
/watch?v=s0jm-HCNocA&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbtIHCQmHCgGHKiGM7w%3D%3D,/@NBA,NBA,"MAGIC at GRIZZLIES | FULL GAME HIGHLIGHTS | January 18, 2026",173K,2 days,"The Grizzlies defeated the Magic, 126-109 tonight in Memphis. Ja Morant finished with a team-high 24 points along with 13 ...",2026-01-21 10:02:04.591729
/watch?v=XoVHZ4f2i54&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"RAPTORS at WARRIORS | FULL GAME HIGHLIGHTS | January 20, 2026",134K,4 hours,"The Raptors defeated the Warriors, 145-127 tonight in Golden State. Immanuel Quickley contributed a team-high 40 points to go ...",2026-01-21 10:02:04.593554
/watch?v=wGW_brMHK-o&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBArtv,NBArtv,Best Moments from the 2024-25 NBA Season,1M,6 months,"From buzzer beaters to monster dunks, this video captures the most unforgettable moments from the 2024–25 NBA season.",2026-01-21 10:02:04.594665
/watch?v=c-AQzcZ1Jxs&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,2000 NBA All-Star Game | 25th Anniversary | NBA Classic,3.1M,11 months,"Check out the 2000 #NBAAllStar Game 25 years later, as we prepare for the 2025 #NBAAllStar game in San Francisco!",2026-01-21 10:02:04.596119
/watch?v=cQcFQ4NMUQs&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"CELTICS at PISTONS | FULL GAME HIGHLIGHTS | January 19, 2026",329K,1 day,"The Pistons defeated the Celtics, 104-103 tonight in Detroit. Tobias Harris finished with a team-high 25 points along with 3 ...",2026-01-21 10:02:04.597980
/watch?v=hjOva6tIhzA&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"THUNDER at CAVALIERS | FULL GAME HIGHLIGHTS | January 19, 2026",362K,1 day,"The Thunder defeated the Cavaliers, 136-104 tonight in Cleveland. Shai Gilgeous-Alexander contributed a team-high 30 points to ...",2026-01-21 10:02:04.599582
/watch?v=PCeZYmZH--4&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"TIMBERWOLVES at SPURS | FULL GAME HIGHLIGHTS | January 17, 2026",851K,3 days,"The Spurs defeated the Timberwolves, 126-126 tonight in San Antonio. Victor Wembanyama finished with a team-high 39 points ...",2026-01-21 10:02:04.601239
/watch?v=vUTTMPfxUJY&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"KNICKS at WARRIORS | FULL GAME HIGHLIGHTS | January 15, 2026",1.1M,5 days,"The Warriors defeated the Knicks, 126-113 tonight in Golden State. Jimmy Butler III contributed a team-high 32 points to go with 8 ...",2026-01-21 10:02:04.602810
/watch?v=GHtIxjKPP9w&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"CANADA vs USA | USAB SHOWCASE | FULL GAME HIGHLIGHTS | July 10, 2024",10M,1 year,"Team USA defeated Team Canada, 86-72. Anthony Edwards led the United States with 13 points and 3 rebounds while Stephen ...",2026-01-21 10:02:04.604623
/shorts/xeVfWjDxee0,/@Naifhalehydeb,Naifh Alehydeb,Team East Starting 5 LOOKING SCARY 😳🔥,325K,21 hours,"Credit: NBA , and Chaz NBA This video was edited by me with care and creativity to bring a unique and entertaining ...",2026-01-21 10:02:04.605955
/watch?v=MUGIs3sOFeg&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"HORNETS at LAKERS | FULL GAME HIGHLIGHTS | January 15, 2026",1.1M,5 days,"Never miss a moment with the latest news, trending stories and highlights to bring you closer to your favorite players and teams.",2026-01-21 10:02:04.607456
/watch?v=pNwOgPkrexc&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"BUCKS at LAKERS | FULL GAME HIGHLIGHTS | January 9, 2026",1M,11 days,"The Bucks defeated the Lakers, 105-101 tonight in Los Angeles. Kevin Porter Jr. finished with a team-high 22 points along with 6 ...",2026-01-21 10:02:04.609013
/watch?v=QWhH5QeUbK8&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"HAWKS at WARRIORS | FULL GAME HIGHLIGHTS | January 11, 2026",675K,9 days,"The Hawks defeated the Warriors, 124-111 tonight in Golden State. Nickeil Alexander-Walker finished with a team-high 24 points ...",2026-01-21 10:02:04.610541
/watch?v=hpbERT9x2CY&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"BUCKS at WARRIORS | FULL GAME HIGHLIGHTS | January 7, 2026",1.3M,13 days,"The Warriors defeated the Bucks, 120-113 tonight in Golden State. Stephen Curry finished with a team-high 31 points along with 7 ...",2026-01-21 10:02:04.612127
/watch?v=P6e9d5jOwX8&pp=ygUfbmF0aW9uYWwgYmFza2V0YmFsbCBhc3NvY2lhdGlvbg%3D%3D,/@NBA,NBA,"MAVERICKS at WARRIORS | FULL GAME HIGHLIGHTS | December 25, 2025",1.5M,3 weeks,"The Warriors defeated the Mavericks, 126-116 tonight in Golden State. Stephen Curry finished with a team-high 23 points along ...",2026-01-21 10:02:04.613621
/shorts/wTgPIk0g8EA,/@laclippers,LA Clippers,new move unlocked 🤯,8.4K,20 hours,"Subscribe for all-access content, game highlights, and more TEXT US +1 (213) 577-1833 TICKETS ...",2026-01-21 10:02:13.366127
/shorts/0s37omkamjA,/@BleacherReport,Bleacher Report,KD HAS THE 6TH MOST POINTS OF ALL TIME 🙌,73K,2 days,Kevin Durant passes Dirk Nowitzki for 6th on the all-time NBA scoring list. #nba #basketball #nbabasketball #kevindurant.,2026-01-21 10:02:13.371659
/shorts/CpHbpNPnKrw,/@Naifhalehydeb,Naifh Alehydeb,VJ with the DUNK OF THE YEAR? 😤🥶,109K,22 hours,"Credit: NBA , and Philadelphia 76ers   This video was edited by me with care and creativity to bring a unique and ...",2026-01-21 10:02:13.373839
